trials_practice1.thisRepN,trials_practice1.thisTrialN,trials_practice1.thisN,trials_practice1.thisIndex,trials_practice1.ran,trials_practice1.order,stim_35,participant,session,date,expName,psychopyVersion,frameRate,trials_practice2.thisRepN,trials_practice2.thisTrialN,trials_practice2.thisN,trials_practice2.thisIndex,trials_practice2.ran,trials_practice2.order,key_resp_trial.keys,key_resp_trial.rt,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,trials_loop.ran,trials_loop.order
2,0,2,0,1,1,stimuli_35/pa-35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,,,,,,,,
2,0,2,0,1,1,stimuli_35/pa-35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,,,,,,,,
,,,,,,stimuli_35/pa+35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,2,0,2,0,1,1,,,,,,,,
,,,,,,stimuli_35/pa+35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,2,0,2,0,1,1,,,,,,,,
,,,,,,stimuli_35/pa+05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.115,10,0,140,7,1,139
,,,,,,stimuli_35/pa-35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.982,10,0,140,0,1,139
,,,,,,stimuli_35/pa+15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.698,10,0,140,9,1,139
,,,,,,stimuli_35/pa-30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.76,10,0,140,1,1,139
,,,,,,stimuli_35/pa-15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.914,10,0,140,4,1,139
,,,,,,stimuli_35/pa-20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.962,10,0,140,3,1,139
,,,,,,stimuli_35/pa+25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.959,10,0,140,11,1,139
,,,,,,stimuli_35/pa-05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.95,10,0,140,6,1,139
,,,,,,stimuli_35/pa+20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.715,10,0,140,10,1,139
,,,,,,stimuli_35/pa-10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.916,10,0,140,5,1,139
,,,,,,stimuli_35/pa+30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.746,10,0,140,12,1,139
,,,,,,stimuli_35/pa-25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.865,10,0,140,2,1,139
,,,,,,stimuli_35/pa+35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.815,10,0,140,13,1,139
,,,,,,stimuli_35/pa+10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.699,10,0,140,8,1,139
,,,,,,stimuli_35/pa-10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.775,10,0,140,5,1,139
,,,,,,stimuli_35/pa-25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.897,10,0,140,2,1,139
,,,,,,stimuli_35/pa-30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.88,10,0,140,1,1,139
,,,,,,stimuli_35/pa+35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.714,10,0,140,13,1,139
,,,,,,stimuli_35/pa+05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.799,10,0,140,7,1,139
,,,,,,stimuli_35/pa-20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.765,10,0,140,3,1,139
,,,,,,stimuli_35/pa+25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.365,10,0,140,11,1,139
,,,,,,stimuli_35/pa-35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.665,10,0,140,0,1,139
,,,,,,stimuli_35/pa+30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.784,10,0,140,12,1,139
,,,,,,stimuli_35/pa+10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.815,10,0,140,8,1,139
,,,,,,stimuli_35/pa+15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.832,10,0,140,9,1,139
,,,,,,stimuli_35/pa+20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.997,10,0,140,10,1,139
,,,,,,stimuli_35/pa-05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.932,10,0,140,6,1,139
,,,,,,stimuli_35/pa-15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.063,10,0,140,4,1,139
,,,,,,stimuli_35/pa-30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.197,10,0,140,1,1,139
,,,,,,stimuli_35/pa-10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.147,10,0,140,5,1,139
,,,,,,stimuli_35/pa+05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,2.329,10,0,140,7,1,139
,,,,,,stimuli_35/pa+25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.88,10,0,140,11,1,139
,,,,,,stimuli_35/pa-25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.866,10,0,140,2,1,139
,,,,,,stimuli_35/pa+20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.849,10,0,140,10,1,139
,,,,,,stimuli_35/pa-15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.71,10,0,140,4,1,139
,,,,,,stimuli_35/pa-05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.264,10,0,140,6,1,139
,,,,,,stimuli_35/pa+30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.73,10,0,140,12,1,139
,,,,,,stimuli_35/pa+15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.764,10,0,140,9,1,139
,,,,,,stimuli_35/pa-35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.933,10,0,140,0,1,139
,,,,,,stimuli_35/pa+35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.181,10,0,140,13,1,139
,,,,,,stimuli_35/pa+10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.064,10,0,140,8,1,139
,,,,,,stimuli_35/pa-20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.931,10,0,140,3,1,139
,,,,,,stimuli_35/pa+10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.797,10,0,140,8,1,139
,,,,,,stimuli_35/pa-20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.249,10,0,140,3,1,139
,,,,,,stimuli_35/pa-35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.997,10,0,140,0,1,139
,,,,,,stimuli_35/pa-25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.879,10,0,140,2,1,139
,,,,,,stimuli_35/pa-10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.728,10,0,140,5,1,139
,,,,,,stimuli_35/pa+35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.648,10,0,140,13,1,139
,,,,,,stimuli_35/pa-30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.91,10,0,140,1,1,139
,,,,,,stimuli_35/pa+30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.914,10,0,140,12,1,139
,,,,,,stimuli_35/pa+15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.665,10,0,140,9,1,139
,,,,,,stimuli_35/pa+20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.931,10,0,140,10,1,139
,,,,,,stimuli_35/pa+25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.779,10,0,140,11,1,139
,,,,,,stimuli_35/pa-05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.896,10,0,140,6,1,139
,,,,,,stimuli_35/pa+05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.763,10,0,140,7,1,139
,,,,,,stimuli_35/pa-15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.031,10,0,140,4,1,139
,,,,,,stimuli_35/pa+20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.745,10,0,140,10,1,139
,,,,,,stimuli_35/pa+05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,1.695,10,0,140,7,1,139
,,,,,,stimuli_35/pa-15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.747,10,0,140,4,1,139
,,,,,,stimuli_35/pa+30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.798,10,0,140,12,1,139
,,,,,,stimuli_35/pa-25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.813,10,0,140,2,1,139
,,,,,,stimuli_35/pa+25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,1.347,10,0,140,11,1,139
,,,,,,stimuli_35/pa-35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.831,10,0,140,0,1,139
,,,,,,stimuli_35/pa+10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.78,10,0,140,8,1,139
,,,,,,stimuli_35/pa-20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.748,10,0,140,3,1,139
,,,,,,stimuli_35/pa-30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.833,10,0,140,1,1,139
,,,,,,stimuli_35/pa+15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.831,10,0,140,9,1,139
,,,,,,stimuli_35/pa-10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.014,10,0,140,5,1,139
,,,,,,stimuli_35/pa+35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.631,10,0,140,13,1,139
,,,,,,stimuli_35/pa-05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.677,10,0,140,6,1,139
,,,,,,stimuli_35/pa+30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.731,10,0,140,12,1,139
,,,,,,stimuli_35/pa-30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.677,10,0,140,1,1,139
,,,,,,stimuli_35/pa+20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.731,10,0,140,10,1,139
,,,,,,stimuli_35/pa-05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.849,10,0,140,6,1,139
,,,,,,stimuli_35/pa+35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,1.079,10,0,140,13,1,139
,,,,,,stimuli_35/pa+10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,1.743,10,0,140,8,1,139
,,,,,,stimuli_35/pa+05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.916,10,0,140,7,1,139
,,,,,,stimuli_35/pa+25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.897,10,0,140,11,1,139
,,,,,,stimuli_35/pa-35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.33,10,0,140,0,1,139
,,,,,,stimuli_35/pa+15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.78,10,0,140,9,1,139
,,,,,,stimuli_35/pa-10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.164,10,0,140,5,1,139
,,,,,,stimuli_35/pa-20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.795,10,0,140,3,1,139
,,,,,,stimuli_35/pa-15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.779,10,0,140,4,1,139
,,,,,,stimuli_35/pa-25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.675,10,0,140,2,1,139
,,,,,,stimuli_35/pa-10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.763,10,0,140,5,1,139
,,,,,,stimuli_35/pa-15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.782,10,0,140,4,1,139
,,,,,,stimuli_35/pa-30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.729,10,0,140,1,1,139
,,,,,,stimuli_35/pa-35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.681,10,0,140,0,1,139
,,,,,,stimuli_35/pa+35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.696,10,0,140,13,1,139
,,,,,,stimuli_35/pa-25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.764,10,0,140,2,1,139
,,,,,,stimuli_35/pa+05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.564,10,0,140,7,1,139
,,,,,,stimuli_35/pa+30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.715,10,0,140,12,1,139
,,,,,,stimuli_35/pa+20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.666,10,0,140,10,1,139
,,,,,,stimuli_35/pa+15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.615,10,0,140,9,1,139
,,,,,,stimuli_35/pa-05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.666,10,0,140,6,1,139
,,,,,,stimuli_35/pa+10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.73,10,0,140,8,1,139
,,,,,,stimuli_35/pa-20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.114,10,0,140,3,1,139
,,,,,,stimuli_35/pa+25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.614,10,0,140,11,1,139
,,,,,,stimuli_35/pa-05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.925,10,0,140,6,1,139
,,,,,,stimuli_35/pa-20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.714,10,0,140,3,1,139
,,,,,,stimuli_35/pa-35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.962,10,0,140,0,1,139
,,,,,,stimuli_35/pa-30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.714,10,0,140,1,1,139
,,,,,,stimuli_35/pa+30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.73,10,0,140,12,1,139
,,,,,,stimuli_35/pa+20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.765,10,0,140,10,1,139
,,,,,,stimuli_35/pa+10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.631,10,0,140,8,1,139
,,,,,,stimuli_35/pa-25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.714,10,0,140,2,1,139
,,,,,,stimuli_35/pa-10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.829,10,0,140,5,1,139
,,,,,,stimuli_35/pa+05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.764,10,0,140,7,1,139
,,,,,,stimuli_35/pa+15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.647,10,0,140,9,1,139
,,,,,,stimuli_35/pa-15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.665,10,0,140,4,1,139
,,,,,,stimuli_35/pa+25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.765,10,0,140,11,1,139
,,,,,,stimuli_35/pa+35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.599,10,0,140,13,1,139
,,,,,,stimuli_35/pa+05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.633,10,0,140,7,1,139
,,,,,,stimuli_35/pa-25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.697,10,0,140,2,1,139
,,,,,,stimuli_35/pa-35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.597,10,0,140,0,1,139
,,,,,,stimuli_35/pa-15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.648,10,0,140,4,1,139
,,,,,,stimuli_35/pa+20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.564,10,0,140,10,1,139
,,,,,,stimuli_35/pa+10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.76,10,0,140,8,1,139
,,,,,,stimuli_35/pa+25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,1.129,10,0,140,11,1,139
,,,,,,stimuli_35/pa-30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.76,10,0,140,1,1,139
,,,,,,stimuli_35/pa-05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.896,10,0,140,6,1,139
,,,,,,stimuli_35/pa-10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.697,10,0,140,5,1,139
,,,,,,stimuli_35/pa+35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.583,10,0,140,13,1,139
,,,,,,stimuli_35/pa+30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.697,10,0,140,12,1,139
,,,,,,stimuli_35/pa+15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.58,10,0,140,9,1,139
,,,,,,stimuli_35/pa-20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.766,10,0,140,3,1,139
,,,,,,stimuli_35/pa-30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.675,10,0,140,1,1,139
,,,,,,stimuli_35/pa+30.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.182,10,0,140,12,1,139
,,,,,,stimuli_35/pa+10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.547,10,0,140,8,1,139
,,,,,,stimuli_35/pa-15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.697,10,0,140,4,1,139
,,,,,,stimuli_35/pa+20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.58,10,0,140,10,1,139
,,,,,,stimuli_35/pa-20.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.565,10,0,140,3,1,139
,,,,,,stimuli_35/pa+05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.545,10,0,140,7,1,139
,,,,,,stimuli_35/pa+15.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.547,10,0,140,9,1,139
,,,,,,stimuli_35/pa-35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,0.647,10,0,140,0,1,139
,,,,,,stimuli_35/pa-05.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.631,10,0,140,6,1,139
,,,,,,stimuli_35/pa+25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.381,10,0,140,11,1,139
,,,,,,stimuli_35/pa-25.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.097,10,0,140,2,1,139
,,,,,,stimuli_35/pa-10.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,left,1.198,10,0,140,5,1,139
,,,,,,stimuli_35/pa+35.wav,100,1,2019-03-28_11h37.55.627,2afc,3.0.6,60,,,,,,,right,0.814,10,0,140,13,1,139
