resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran
right,4.04206,0,0,0,1,1,stim/VC_11.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,
left,1.1444,0,1,1,0,1,stim/VC_01.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,space,5.583485,right,0.91421,0,0,0,6,1,,,,,,,,
,,,,,,,stim/VC_04.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.77545,0,1,1,3,1,,,,,,,,
,,,,,,,stim/VC_10.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.67261,0,2,2,9,1,,,,,,,,
,,,,,,,stim/VC_08.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.63351,0,3,3,7,1,,,,,,,,
,,,,,,,stim/VC_01.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.76718,0,4,4,0,1,,,,,,,,
,,,,,,,stim/VC_11.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.58704,0,5,5,10,1,,,,,,,,
,,,,,,,stim/VC_06.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.542785,0,6,6,5,1,,,,,,,,
,,,,,,,stim/VC_02.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.68313,0,7,7,1,1,,,,,,,,
,,,,,,,stim/VC_09.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.643365,0,8,8,8,1,,,,,,,,
,,,,,,,stim/VC_03.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.66656,0,9,9,2,1,,,,,,,,
,,,,,,,stim/VC_05.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.68772,0,10,10,4,1,,,,,,,,
,,,,,,,stim/VC_01.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.63443,1,0,11,0,1,,,,,,,,
,,,,,,,stim/VC_04.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.7801,1,1,12,3,1,,,,,,,,
,,,,,,,stim/VC_06.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.81017,1,2,13,5,1,,,,,,,,
,,,,,,,stim/VC_10.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.82794,1,3,14,9,1,,,,,,,,
,,,,,,,stim/VC_03.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.62412,1,4,15,2,1,,,,,,,,
,,,,,,,stim/VC_11.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.60478,1,5,16,10,1,,,,,,,,
,,,,,,,stim/VC_05.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,1.321155,1,6,17,4,1,,,,,,,,
,,,,,,,stim/VC_02.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.81728,1,7,18,1,1,,,,,,,,
,,,,,,,stim/VC_07.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.815645,1,8,19,6,1,,,,,,,,
,,,,,,,stim/VC_09.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.65125,1,9,20,8,1,,,,,,,,
,,,,,,,stim/VC_08.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.595325,1,10,21,7,1,,,,,,,,
,,,,,,,stim/VC_11.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.597915,2,0,22,10,1,,,,,,,,
,,,,,,,stim/VC_04.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.702995,2,1,23,3,1,,,,,,,,
,,,,,,,stim/VC_06.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,2.59406,2,2,24,5,1,,,,,,,,
,,,,,,,stim/VC_08.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.643795,2,3,25,7,1,,,,,,,,
,,,,,,,stim/VC_07.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.57298,2,4,26,6,1,,,,,,,,
,,,,,,,stim/VC_05.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.77002,2,5,27,4,1,,,,,,,,
,,,,,,,stim/VC_03.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.542915,2,6,28,2,1,,,,,,,,
,,,,,,,stim/VC_02.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.48606,2,7,29,1,1,,,,,,,,
,,,,,,,stim/VC_01.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.428375,2,8,30,0,1,,,,,,,,
,,,,,,,stim/VC_09.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.648985,2,9,31,8,1,,,,,,,,
,,,,,,,stim/VC_10.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.53916,2,10,32,9,1,,,,,,,,
,,,,,,,stim/VC_08.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.78767,,,,,,4,0,5.60847,0,0,0,7,1
,,,,,,,stim/VC_11.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.639295,,,,,,,,,0,1,1,10,1
,,,,,,,stim/VC_07.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.6181,,,,,,,,,0,2,2,6,1
,,,,,,,stim/VC_02.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.59067,,,,,,,,,0,3,3,1,1
,,,,,,,stim/VC_10.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.665995,,,,,,,,,0,4,4,9,1
,,,,,,,stim/VC_05.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.655595,,,,,,,,,0,5,5,4,1
,,,,,,,stim/VC_04.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,1.226895,,,,,,,,,0,6,6,3,1
,,,,,,,stim/VC_01.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.83252,,,,,,,,,0,7,7,0,1
,,,,,,,stim/VC_03.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.602465,,,,,,,,,0,8,8,2,1
,,,,,,,stim/VC_06.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.597405,,,,,,,,,0,9,9,5,1
,,,,,,,stim/VC_09.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.63017,,,,,,,,,0,10,10,8,1
,,,,,,,stim/VC_09.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.86829,,,,,,,,,1,0,11,8,1
,,,,,,,stim/VC_01.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,1.857975,,,,,,,,,1,1,12,0,1
,,,,,,,stim/VC_10.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.94532,,,,,,,,,1,2,13,9,1
,,,,,,,stim/VC_11.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.675095,,,,,,,,,1,3,14,10,1
,,,,,,,stim/VC_05.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,1.357425,,,,,,,,,1,4,15,4,1
,,,,,,,stim/VC_02.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.672835,,,,,,,,,1,5,16,1,1
,,,,,,,stim/VC_08.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.485515,,,,,,,,,1,6,17,7,1
,,,,,,,stim/VC_03.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.62546,,,,,,,,,1,7,18,2,1
,,,,,,,stim/VC_04.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,left,0.700445,,,,,,,,,1,8,19,3,1
,,,,,,,stim/VC_06.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.606335,,,,,,,,,1,9,20,5,1
,,,,,,,stim/VC_07.wav,5ee67e08ae1ebf0b622da12f,2021-02-24_20h46.55.293,English_step1,2020.2.3,Win32,60,,,right,0.594165,,,,,,,,,1,10,21,6,1
